iter	Accuracy	Logloss
0	0.7929292929	0.6692553463
1	0.803030303	0.6437547457
2	0.803030303	0.6264627955
3	0.8047138047	0.6083587294
4	0.8047138047	0.5933439293
5	0.8080808081	0.5791378885
6	0.8148148148	0.5606844018
7	0.8164983165	0.5452042462
8	0.8131313131	0.5344957041
9	0.8198653199	0.5211837584
10	0.8198653199	0.5116487005
11	0.8249158249	0.5013640884
12	0.8232323232	0.4926547471
13	0.8198653199	0.4848611744
14	0.8198653199	0.475944103
15	0.8181818182	0.4705747264
16	0.8215488215	0.4640293748
17	0.8181818182	0.4567296381
18	0.8181818182	0.4529009414
19	0.8198653199	0.4459702225
20	0.8181818182	0.4418757735
21	0.8249158249	0.4377764662
22	0.835016835	0.4344945892
23	0.8282828283	0.4307694231
24	0.82996633	0.4278780637
25	0.8316498316	0.4242133005
26	0.8333333333	0.4199600131
27	0.82996633	0.4158316876
28	0.82996633	0.4110896932
29	0.8367003367	0.4073016045
30	0.835016835	0.4051878736
31	0.8400673401	0.4034439911
32	0.8400673401	0.4029833507
33	0.8434343434	0.4026252772
34	0.8451178451	0.399632542
35	0.8434343434	0.3978872309
36	0.8451178451	0.3967441302
37	0.8451178451	0.3945265689
38	0.8434343434	0.3930087916
39	0.8468013468	0.3888390727
40	0.8468013468	0.3877342362
41	0.8468013468	0.383706233
42	0.8501683502	0.3803961508
43	0.8552188552	0.3780305506
44	0.8552188552	0.3757214633
45	0.8552188552	0.3753374649
46	0.8552188552	0.3731350279
47	0.8552188552	0.3695113851
48	0.8535353535	0.36816175
49	0.8602693603	0.3650531163
50	0.8636363636	0.3631243996
51	0.8653198653	0.3619884737
52	0.861952862	0.3601401046
53	0.861952862	0.3598324276
54	0.8653198653	0.3586782646
55	0.8653198653	0.3570563428
56	0.867003367	0.355934951
57	0.8686868687	0.3542975783
58	0.8754208754	0.3528021171
59	0.8737373737	0.351937203
60	0.8754208754	0.3510553333
61	0.8737373737	0.3510487518
62	0.8804713805	0.3488100923
63	0.8838383838	0.3475269134
64	0.8872053872	0.3460891001
65	0.8905723906	0.3437302689
66	0.8888888889	0.3428159758
67	0.8888888889	0.3418869584
68	0.8888888889	0.3397320119
69	0.8888888889	0.3389850011
70	0.8888888889	0.3388101768
71	0.8888888889	0.3384922884
72	0.8888888889	0.337883147
73	0.8888888889	0.3355920631
74	0.8888888889	0.3347500036
75	0.8888888889	0.3346883131
76	0.8888888889	0.3337267616
77	0.8905723906	0.3331856468
78	0.8905723906	0.3328215651
79	0.8905723906	0.3324475065
80	0.8922558923	0.3314846774
81	0.8922558923	0.3313049167
