iter	Passed	Remaining
0	2	1411
1	6	1665
2	10	1723
3	13	1629
4	14	1442
5	18	1526
6	19	1344
7	19	1205
8	21	1154
9	24	1185
10	29	1313
11	31	1295
12	33	1267
13	36	1275
14	42	1363
15	45	1372
16	48	1386
17	52	1412
18	57	1464
19	60	1456
20	63	1444
21	68	1478
22	74	1537
23	77	1544
24	82	1560
25	84	1541
26	87	1530
27	92	1555
28	96	1559
29	96	1519
30	100	1516
31	104	1531
32	108	1536
33	109	1507
34	113	1504
35	117	1514
36	122	1533
37	127	1546
38	131	1549
39	132	1525
40	137	1534
41	140	1535
42	143	1524
43	146	1517
44	149	1510
45	155	1531
46	158	1527
47	162	1528
48	166	1529
49	172	1554
50	175	1541
51	180	1551
52	183	1546
53	189	1569
54	191	1545
55	194	1544
56	198	1541
57	204	1555
58	206	1546
59	210	1542
60	215	1549
61	221	1562
62	223	1547
63	225	1536
64	227	1522
65	230	1514
66	235	1523
67	239	1520
68	243	1518
69	245	1506
70	248	1503
71	254	1511
72	261	1530
73	266	1535
74	274	1557
75	277	1550
76	284	1563
77	287	1557
78	289	1540
79	291	1529
80	294	1522
81	298	1520
82	304	1527
83	308	1527
84	308	1508
85	312	1505
86	321	1527
87	329	1543
88	336	1555
89	340	1551
90	346	1555
91	352	1565
92	357	1563
93	361	1561
94	368	1570
95	372	1566
96	376	1565
97	382	1569
98	389	1579
99	396	1584
100	401	1584
101	404	1578
102	408	1572
103	411	1567
104	413	1554
105	418	1554
106	421	1546
107	424	1542
108	431	1546
109	434	1540
110	438	1536
111	441	1530
112	446	1530
113	449	1523
114	452	1515
115	456	1512
116	459	1504
117	462	1496
118	467	1497
119	471	1492
120	473	1483
121	478	1483
122	481	1477
123	484	1470
124	490	1470
125	495	1471
126	497	1460
127	499	1452
128	503	1448
129	506	1440
130	510	1437
131	513	1432
132	515	1422
133	519	1418
134	522	1413
135	526	1409
136	529	1403
137	532	1396
138	535	1392
139	539	1387
140	544	1386
141	546	1376
142	550	1373
143	554	1371
144	558	1367
145	563	1366
146	565	1358
147	569	1354
148	573	1351
149	578	1350
150	585	1352
151	588	1348
152	596	1353
153	609	1369
154	613	1365
155	619	1366
156	626	1369
157	630	1364
158	634	1361
159	635	1350
160	642	1353
161	646	1349
162	650	1345
163	653	1339
164	656	1332
165	661	1330
166	664	1325
167	667	1319
168	671	1315
169	676	1314
170	681	1311
171	685	1306
172	690	1305
173	694	1301
174	698	1297
175	703	1294
176	708	1292
177	714	1293
178	718	1289
179	723	1286
180	729	1285
181	733	1281
182	737	1278
183	741	1273
184	745	1269
185	748	1264
186	752	1258
187	757	1256
188	760	1251
189	764	1247
190	768	1243
191	775	1243
192	779	1239
193	782	1233
194	786	1229
195	792	1228
196	795	1223
197	803	1225
198	806	1220
199	812	1218
200	815	1212
201	821	1211
202	827	1210
203	832	1207
204	837	1205
205	842	1202
206	845	1197
207	849	1192
208	855	1190
209	861	1189
210	864	1184
211	869	1181
212	873	1176
213	875	1170
214	880	1166
215	885	1164
216	889	1160
217	893	1155
218	896	1150
219	905	1152
220	909	1147
221	913	1143
222	919	1142
223	925	1140
224	932	1139
225	940	1140
226	943	1135
227	947	1130
228	954	1129
229	959	1126
230	965	1124
231	968	1119
232	972	1114
233	976	1109
234	979	1104
235	985	1102
236	988	1096
237	992	1092
238	996	1088
239	1001	1084
240	1006	1082
241	1011	1078
242	1018	1076
243	1022	1072
244	1025	1067
245	1030	1063
246	1034	1059
247	1037	1054
248	1040	1049
249	1043	1043
250	1049	1041
251	1052	1035
252	1056	1031
253	1060	1027
254	1066	1024
255	1070	1019
256	1074	1015
257	1079	1012
258	1082	1007
259	1085	1002
260	1088	997
261	1091	991
262	1094	986
263	1100	983
264	1103	978
265	1107	973
266	1110	968
267	1115	965
268	1118	960
269	1121	955
270	1125	950
271	1129	946
272	1132	941
273	1138	938
274	1140	933
275	1145	929
276	1148	924
277	1154	922
278	1157	917
279	1162	913
280	1169	911
281	1172	906
282	1178	903
283	1184	900
284	1193	900
285	1199	897
286	1205	894
287	1211	892
288	1301	950
289	1308	947
290	1315	944
291	1322	941
292	1329	939
293	1335	935
294	1342	933
295	1350	930
296	1358	928
297	1364	925
298	1373	923
299	1380	920
300	1388	917
301	1396	915
302	1401	911
303	1409	908
304	1416	905
305	1421	901
306	1428	897
307	1434	894
308	1441	890
309	1447	887
310	1451	881
311	1459	879
312	1465	875
313	1471	871
314	1478	868
315	1484	864
316	1492	861
317	1497	857
318	1504	853
319	1510	849
320	1517	845
321	1526	843
322	1533	840
323	1539	836
324	1546	832
325	1553	828
326	1561	825
327	1569	822
328	1581	821
329	1585	816
330	1591	812
331	1598	809
332	1606	805
333	1612	801
334	1619	797
335	1627	794
336	1632	789
337	1639	785
338	1644	781
339	1647	775
340	1650	769
341	1654	764
342	1659	759
343	1663	754
344	1666	748
345	1673	744
346	1678	740
347	1684	735
348	1689	731
349	1698	727
350	1704	723
351	1711	719
352	1715	714
353	1720	709
354	1725	704
355	1729	699
356	1732	693
357	1739	689
358	1742	684
359	1747	679
360	1753	675
361	1759	670
362	1764	665
363	1771	661
364	1774	656
365	1778	651
366	1781	645
367	1785	640
368	1789	635
369	1793	629
370	1796	624
371	1803	620
372	1806	615
373	1809	609
374	1812	604
375	1817	599
376	1820	594
377	1825	589
378	1830	584
379	1837	580
380	1840	574
381	1843	569
382	1847	564
383	1853	559
384	1857	554
385	1860	549
386	1863	544
387	1868	539
388	1872	534
389	1875	528
390	1879	523
391	1883	518
392	1888	514
393	1892	509
394	1896	504
395	1901	499
396	1905	494
397	1908	489
398	1913	484
399	1920	480
400	1926	475
401	1933	471
402	1939	466
403	1945	462
404	1951	457
405	1954	452
406	1958	447
407	1962	442
408	1968	438
409	1973	433
410	1980	428
411	1983	423
412	1988	418
413	1993	414
414	1999	409
415	2003	404
416	2007	399
417	2014	395
418	2019	390
419	2022	385
420	2027	380
421	2033	375
422	2036	370
423	2040	365
424	2042	360
425	2048	355
426	2053	351
427	2057	346
428	2062	341
429	2066	336
430	2070	331
431	2077	327
432	2081	322
433	2084	317
434	2089	312
435	2094	307
436	2098	302
437	2102	297
438	2109	293
439	2113	288
440	2117	283
441	2121	278
442	2128	273
443	2133	269
444	2136	264
445	2139	259
446	2145	254
447	2148	249
448	2152	244
449	2155	239
450	2160	234
451	2165	229
452	2170	225
453	2173	220
454	2178	215
455	2183	210
456	2186	205
457	2191	200
458	2196	196
459	2199	191
460	2203	186
461	2210	181
462	2216	177
463	2220	172
464	2227	167
465	2230	162
466	2233	157
467	2236	152
468	2242	148
469	2247	143
470	2252	138
471	2255	133
472	2260	129
473	2264	124
474	2268	119
475	2274	114
476	2279	109
477	2282	105
478	2286	100
479	2292	95
480	2296	90
481	2299	85
482	2302	81
483	2307	76
484	2313	71
485	2316	66
486	2321	61
487	2325	57
488	2328	52
489	2332	47
490	2335	42
491	2340	38
492	2346	33
493	2350	28
494	2356	23
495	2361	19
496	2366	14
497	2370	9
498	2375	4
499	2378	0
