iter	Accuracy	Logloss
0	0.8148148148	0.6638304389
1	0.8136924804	0.6421730744
2	0.8136924804	0.622402646
3	0.8181818182	0.5984752196
4	0.8125701459	0.5828258472
5	0.8148148148	0.5673324488
6	0.8148148148	0.5549761546
7	0.8125701459	0.5420371059
8	0.8260381594	0.5232788204
9	0.8249158249	0.5138863234
10	0.8237934905	0.5042072793
11	0.8237934905	0.4938039497
12	0.8271604938	0.4836574648
13	0.8271604938	0.4759258235
14	0.8338945006	0.4644865989
15	0.8361391695	0.4579996368
16	0.8338945006	0.4520027761
17	0.8305274972	0.4472862415
18	0.8372615039	0.4419413024
19	0.8361391695	0.4365286413
20	0.8361391695	0.4304182921
21	0.8361391695	0.4267283291
22	0.8383838384	0.4206411855
23	0.8372615039	0.4162374401
24	0.8372615039	0.4115906229
25	0.8406285073	0.4104806109
26	0.8417508418	0.4081603392
27	0.8428731762	0.4063929081
28	0.8451178451	0.4047801408
29	0.8406285073	0.4016841233
30	0.8417508418	0.399521111
31	0.8462401796	0.3962641299
32	0.847362514	0.3941291664
33	0.8451178451	0.3914858814
34	0.8451178451	0.3910835943
35	0.8406285073	0.3892274392
36	0.8417508418	0.3862959957
37	0.8428731762	0.385324946
38	0.8439955107	0.3828232413
39	0.8462401796	0.3817619569
40	0.8484848485	0.3792427759
41	0.847362514	0.3783727231
42	0.8518518519	0.3771846034
43	0.8507295174	0.3755274385
44	0.8496071829	0.3752436305
45	0.8496071829	0.3734419849
46	0.8484848485	0.3719773573
47	0.8484848485	0.3719434886
48	0.8496071829	0.3707880738
49	0.8507295174	0.3701001274
50	0.8552188552	0.3686257448
51	0.8552188552	0.3680239593
52	0.8540965208	0.3668894356
53	0.8574635241	0.365516926
54	0.8585858586	0.364276953
55	0.8574635241	0.3624418773
56	0.859708193	0.3618098962
57	0.8585858586	0.3616003626
58	0.8585858586	0.3602086837
59	0.859708193	0.3593881329
60	0.8574635241	0.3580105105
61	0.859708193	0.3571369977
62	0.8608305275	0.3563231755
63	0.859708193	0.3560544911
64	0.859708193	0.354865041
65	0.8630751964	0.354291246
66	0.8630751964	0.3532951914
67	0.861952862	0.3519383049
68	0.8630751964	0.3514379119
69	0.8630751964	0.3506137675
70	0.8630751964	0.3499394373
71	0.8630751964	0.3494924331
72	0.8630751964	0.3490731572
73	0.8630751964	0.3480922392
74	0.8630751964	0.3460358677
75	0.8630751964	0.3457230455
76	0.8653198653	0.3443092732
77	0.8653198653	0.3436934019
78	0.8641975309	0.3428286619
79	0.8641975309	0.3424792557
80	0.8653198653	0.3411211224
81	0.8641975309	0.3397863971
82	0.8686868687	0.3385643964
83	0.8675645342	0.3380594993
84	0.8675645342	0.3370249646
85	0.8675645342	0.3365343148
86	0.8686868687	0.3359426285
87	0.8698092031	0.3351916959
88	0.8709315376	0.3337787747
89	0.8709315376	0.3337787635
90	0.8754208754	0.3322079281
91	0.8754208754	0.3321857101
92	0.8754208754	0.3313508036
93	0.8754208754	0.330260337
94	0.8754208754	0.3295998434
95	0.874298541	0.3288462369
96	0.8754208754	0.3287774763
97	0.874298541	0.3286521486
98	0.8754208754	0.3280243349
99	0.874298541	0.3272321463
100	0.8754208754	0.3271884317
101	0.8765432099	0.3262339596
102	0.8787878788	0.3252087281
103	0.8810325477	0.3246626634
104	0.8810325477	0.3242951206
105	0.8810325477	0.3234009641
106	0.8787878788	0.3223334158
107	0.8787878788	0.3215039104
108	0.8787878788	0.3205583958
109	0.8787878788	0.3201788993
110	0.8787878788	0.3199513305
111	0.8787878788	0.3198781546
112	0.8787878788	0.3195412639
113	0.8787878788	0.3185218691
114	0.8810325477	0.3176737724
115	0.8799102132	0.3174172827
116	0.8810325477	0.3168725804
117	0.8810325477	0.3158336634
118	0.8810325477	0.3156221114
119	0.8810325477	0.315622063
120	0.8821548822	0.3153696883
121	0.8821548822	0.3152889282
122	0.8821548822	0.3147838249
123	0.8821548822	0.3143188715
124	0.8821548822	0.3137079738
125	0.8832772166	0.313179575
126	0.8832772166	0.3131794864
127	0.8832772166	0.3127259072
128	0.8832772166	0.3127258044
129	0.8843995511	0.3101757595
130	0.8843995511	0.3094564359
131	0.8843995511	0.3094528891
132	0.8843995511	0.3088992659
133	0.8843995511	0.3088992061
134	0.8855218855	0.3085011084
135	0.8888888889	0.307037966
136	0.8888888889	0.3059575813
137	0.8888888889	0.3053201297
138	0.8888888889	0.3049819713
139	0.8877665544	0.3046131326
140	0.8888888889	0.3034159461
141	0.8900112233	0.3029431957
142	0.8922558923	0.302602769
143	0.8922558923	0.3019974885
144	0.8911335578	0.3015639952
145	0.8911335578	0.3006600275
146	0.8933782267	0.3002246117
147	0.8922558923	0.2996895955
148	0.8922558923	0.2996659307
149	0.8922558923	0.2991580515
150	0.8933782267	0.2986755382
151	0.8945005612	0.2984102058
152	0.8956228956	0.2980105016
153	0.8945005612	0.2976187962
154	0.8945005612	0.2976187956
155	0.8945005612	0.297356383
156	0.8956228956	0.2967180429
157	0.8956228956	0.2961031377
158	0.8967452301	0.2953792836
159	0.8978675645	0.2942282894
160	0.898989899	0.2940085217
161	0.9001122334	0.2936407227
162	0.9001122334	0.2936193929
163	0.9001122334	0.293233983
164	0.9001122334	0.2931954496
165	0.9001122334	0.2930676496
166	0.898989899	0.2928033475
167	0.898989899	0.2925161567
168	0.898989899	0.2916420786
169	0.9001122334	0.2909026594
170	0.9001122334	0.2904242419
171	0.9012345679	0.2899180997
172	0.9012345679	0.2899047754
173	0.9023569024	0.2893382703
174	0.9023569024	0.2892315426
175	0.9023569024	0.2881811673
176	0.9023569024	0.2879216742
177	0.9023569024	0.2872230649
178	0.9023569024	0.286122718
179	0.9034792368	0.285155489
180	0.9034792368	0.2841411854
181	0.9001122334	0.2834176356
182	0.9001122334	0.2827440505
183	0.9023569024	0.2820523908
184	0.9012345679	0.2815615647
185	0.9012345679	0.2812726006
186	0.9046015713	0.2797567823
187	0.9046015713	0.2784369776
188	0.9057239057	0.2776753229
189	0.9046015713	0.2773832898
190	0.9046015713	0.27696825
191	0.9046015713	0.2762303132
192	0.9046015713	0.2758072379
193	0.9046015713	0.275484616
194	0.9068462402	0.2748351104
195	0.9068462402	0.2746767513
196	0.9079685746	0.2741178194
197	0.9079685746	0.2735174859
198	0.9102132435	0.2720669085
199	0.9102132435	0.2718885777
200	0.911335578	0.2711931334
201	0.9079685746	0.2710320087
202	0.9090909091	0.270571322
203	0.9090909091	0.2704913027
204	0.9090909091	0.2698679096
205	0.9090909091	0.2688052044
206	0.9090909091	0.2683256955
207	0.9090909091	0.2677599514
208	0.9090909091	0.2674070409
209	0.9090909091	0.2671936656
210	0.9090909091	0.2668727839
211	0.9090909091	0.266396945
212	0.9090909091	0.265675526
213	0.9102132435	0.2646382902
214	0.9102132435	0.2638996954
215	0.9102132435	0.2636169889
216	0.9135802469	0.2631183963
217	0.9135802469	0.2624409912
218	0.9158249158	0.2622609358
219	0.9147025814	0.2617149917
