iter	Passed	Remaining
0	9	4560
1	11	2792
2	16	2757
3	21	2629
4	23	2291
5	28	2371
6	31	2199
7	35	2202
8	38	2121
9	43	2119
10	46	2081
11	49	2002
12	52	1978
13	55	1924
14	58	1879
15	61	1860
16	63	1815
17	66	1790
18	70	1791
19	73	1768
20	76	1749
21	79	1736
22	82	1706
23	85	1693
24	88	1685
25	90	1654
26	92	1613
27	94	1590
28	96	1567
29	98	1540
30	101	1532
31	103	1511
32	105	1497
33	108	1486
34	109	1453
35	111	1436
36	114	1431
37	116	1414
38	119	1410
39	121	1395
40	123	1383
41	125	1368
42	128	1363
43	131	1367
44	132	1342
45	135	1335
46	138	1332
47	139	1316
48	142	1309
49	144	1301
50	147	1296
51	148	1277
52	150	1273
53	152	1263
54	154	1252
55	156	1244
56	158	1235
57	160	1220
58	162	1215
59	164	1205
60	167	1205
61	170	1201
62	172	1193
63	174	1188
64	176	1184
65	178	1176
66	182	1181
67	184	1172
68	186	1164
69	188	1158
70	191	1156
71	193	1152
72	196	1149
73	198	1144
74	201	1140
75	203	1135
76	206	1134
77	209	1132
78	212	1130
79	213	1119
80	216	1118
81	218	1115
82	221	1110
83	223	1105
84	225	1101
85	227	1096
86	230	1092
87	232	1089
88	235	1087
89	235	1074
90	238	1070
91	238	1059
92	241	1055
93	243	1053
94	246	1051
95	249	1049
96	250	1042
97	252	1033
98	254	1032
99	256	1027
100	257	1018
101	260	1016
102	263	1014
103	265	1012
104	268	1009
105	270	1005
106	273	1004
107	276	1002
108	279	1001
109	281	999
110	284	996
111	285	988
112	287	984
113	290	982
114	292	978
115	293	972
116	296	971
117	299	968
118	301	966
119	302	956
120	304	954
121	307	953
122	309	947
123	311	943
124	315	945
125	318	944
126	318	936
127	321	934
128	321	925
129	324	924
130	326	920
131	327	913
132	330	910
133	331	905
134	333	902
135	336	899
136	338	896
137	340	894
138	343	891
139	345	888
140	347	885
141	350	882
142	352	879
143	354	876
144	357	875
145	360	873
146	362	870
