iter	Logloss
0	0.6688062472
1	0.647962157
2	0.6300477912
3	0.6146073872
4	0.6012694898
5	0.5897277567
6	0.5797270109
7	0.5710528935
8	0.5635240447
9	0.5592171141
10	0.5531289037
11	0.547036674
12	0.5418181258
13	0.5370546927
14	0.5320266761
15	0.527660478
16	0.5235074675
17	0.5200853468
18	0.516984371
19	0.5141349842
20	0.5118023961
21	0.5101105193
22	0.5066552732
23	0.5042586527
24	0.5026381717
25	0.5010462197
26	0.4981353004
27	0.4956119806
28	0.4943164973
29	0.4925938098
30	0.4913142905
31	0.4903251275
32	0.4881468188
33	0.4872764879
34	0.4864445883
35	0.4859407098
36	0.4851840962
37	0.484323397
38	0.4836095593
39	0.4817663184
40	0.4801707445
41	0.4791418808
42	0.478331483
43	0.4772522936
44	0.4763054611
45	0.4749184619
46	0.4740808131
47	0.4728803921
48	0.4726198705
49	0.4719051813
50	0.4712816499
51	0.4708432131
52	0.4702143626
53	0.4696912902
54	0.4692446698
55	0.4681964858
56	0.4678237969
57	0.4676042459
58	0.4666992483
59	0.4664906085
60	0.4660392363
61	0.46595757
62	0.465166592
63	0.4644832662
64	0.4638931262
65	0.4634536656
66	0.4628224917
67	0.4622406075
68	0.4617994547
69	0.4616566709
70	0.461279124
71	0.4609093396
72	0.4606402569
73	0.4603191123
74	0.4598079825
75	0.4595929801
76	0.4595850056
77	0.4593110741
78	0.4590308157
79	0.45848351
80	0.4579413758
81	0.4571492078
82	0.4569258077
83	0.4567990412
84	0.4563748542
85	0.4562576965
86	0.4562573916
87	0.4558422864
88	0.4555758196
89	0.4553088991
90	0.4550842791
91	0.4544394598
92	0.4542481952
93	0.4537267641
94	0.4537266107
95	0.4532765468
96	0.4532764038
97	0.4530467748
98	0.4530448653
99	0.4528595418
