iter	Passed	Remaining
0	1	144
1	2	109
2	2	90
3	4	96
4	4	94
5	6	94
6	6	90
7	7	87
8	8	84
9	9	84
10	10	83
11	12	88
12	12	85
13	14	88
14	15	90
15	16	87
16	17	83
17	17	80
18	18	78
19	19	79
20	20	76
21	20	73
22	21	71
23	22	70
24	23	69
25	23	67
26	24	65
27	26	66
28	26	65
29	28	66
30	29	65
31	30	64
32	30	62
33	31	61
34	32	60
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	54
41	38	53
42	39	52
43	40	52
44	41	50
45	42	49
46	43	48
47	43	47
48	44	46
49	45	45
50	45	44
51	46	42
52	47	41
53	48	40
54	48	39
55	49	39
56	50	37
57	51	36
58	51	35
59	52	34
60	53	33
61	53	32
62	54	32
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	69	13
84	70	12
85	71	11
86	71	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	82	0
